Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95
MergedData,YOLOv11mMergedData960,0.834,0.818,0.859,0.765
MergedData,YOLOv11sMergedData960,0.806,0.819,0.847,0.715
MergedData,YOLOv11nMergedData960,0.808,0.811,0.818,0.68
MergedData,YOLOv11sNickData960,0.396,0.295,0.236,0.13
MergedData,YOLOv11mOysterNick,0.377,0.295,0.235,0.13
MergedData,YOLOv11mNickData960,0.385,0.304,0.234,0.127
MergedData,YOLOv11nNickData960,0.368,0.306,0.226,0.116
MergedData,YOLOv11sOysterNick,0.369,0.322,0.22,0.117
MergedData,YOLOv11nOysterNick,0.347,0.319,0.217,0.11
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.724
REU_Oyster_2024_Improved-2,YOLOv11mOysterNick,0.839,0.889,0.905,0.701
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.924,0.812,0.904,0.564
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.69
REU_Oyster_2024_Improved-2,YOLOv11nOysterNick,0.882,0.836,0.901,0.684
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.722
REU_Oyster_2024_Improved-2,YOLOv11sOysterNick,0.899,0.846,0.892,0.705
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.847,0.843,0.882,0.535
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.882,0.82,0.872,0.547
