Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Preprocess (ms/img),Inference (ms/img),Postprocess (ms/img),Total (ms/img),FPS
MergedData,YOLOv11mMergedData960,0.834,0.818,0.859,0.765,1.77,346.04,0.23,348.03,2.9
MergedData,YOLOv11sMergedData960,0.806,0.819,0.847,0.715,0.78,132.27,0.25,133.3,7.5
MergedData,YOLOv11nMergedData960,0.808,0.811,0.818,0.68,0.62,48.88,0.27,49.77,20.1
MergedData,YOLOv11sNickData960,0.396,0.295,0.236,0.13,0.63,133.88,0.22,134.73,7.4
MergedData,YOLOv11mOysterNick,0.377,0.295,0.235,0.13,0.37,148.48,0.19,149.04,6.7
MergedData,YOLOv11mNickData960,0.385,0.304,0.234,0.127,3.03,355.9,0.22,359.15,2.8
MergedData,YOLOv11nNickData960,0.368,0.306,0.226,0.116,0.6,48.13,0.27,49.0,20.4
MergedData,YOLOv11sOysterNick,0.369,0.322,0.22,0.117,1.04,130.78,0.26,132.09,7.6
MergedData,YOLOv11nOysterNick,0.347,0.319,0.217,0.11,0.63,48.98,0.4,50.01,20.0
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.724,1.76,359.22,0.15,361.14,2.8
REU_Oyster_2024_Improved-2,YOLOv11mOysterNick,0.839,0.889,0.905,0.701,0.33,145.24,0.12,145.69,6.9
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.924,0.812,0.904,0.564,1.25,133.24,0.15,134.63,7.4
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.69,0.73,48.03,0.14,48.9,20.5
REU_Oyster_2024_Improved-2,YOLOv11nOysterNick,0.882,0.836,0.901,0.684,0.69,48.05,0.23,48.97,20.4
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.722,0.8,133.9,0.2,134.9,7.4
REU_Oyster_2024_Improved-2,YOLOv11sOysterNick,0.899,0.846,0.892,0.705,0.92,129.29,0.17,130.38,7.7
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.847,0.843,0.882,0.535,0.7,51.77,0.21,52.68,19.0
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.882,0.82,0.872,0.547,1.97,351.83,0.16,353.96,2.8
