epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2466,1.69481,2.07864,1.83495,0.3847,0.299,0.29791,0.17616,0.44203,13.8465,0.36384,0.00332649,0.00332649,0.00332649
2,149.187,1.58822,1.64561,1.71081,0.33782,0.46165,0.34824,0.19164,0.44731,116.421,0.37302,0.00662686,0.00662686,0.00662686
3,223.478,1.63019,1.72469,1.75751,0.48588,0.29816,0.33975,0.192,0.46188,61.0445,0.3869,0.00989422,0.00989422,0.00989422
4,296.533,1.66948,1.79739,1.80343,0.44557,0.40435,0.38231,0.21959,0.44767,47.3017,0.38506,0.0098515,0.0098515,0.0098515
5,370.659,1.62829,1.73708,1.78357,0.60476,0.36994,0.39939,0.21174,0.45666,81.3674,0.3853,0.009802,0.009802,0.009802
6,443.849,1.57902,1.6346,1.7402,0.60459,0.45205,0.44699,0.26008,0.44255,36.4546,0.3848,0.0097525,0.0097525,0.0097525
7,517.936,1.53794,1.5535,1.7126,0.56665,0.4818,0.49521,0.30271,0.42131,36.8549,0.35755,0.009703,0.009703,0.009703
8,591.963,1.50967,1.50418,1.68898,0.65033,0.49459,0.54477,0.34293,0.42044,36.1984,0.36035,0.0096535,0.0096535,0.0096535
9,666.05,1.48125,1.43241,1.66535,0.67323,0.48102,0.5652,0.34648,0.42221,13.8399,0.35958,0.009604,0.009604,0.009604
10,740.372,1.44841,1.39979,1.6439,0.7353,0.49019,0.60109,0.39939,0.39951,26.8725,0.35694,0.0095545,0.0095545,0.0095545
11,814.347,1.42706,1.34171,1.62024,0.74212,0.54393,0.65607,0.43531,0.37033,10.8218,0.33626,0.009505,0.009505,0.009505
12,888.171,1.40558,1.32004,1.6131,0.71352,0.57255,0.64442,0.4145,0.37384,3.86918,0.33263,0.0094555,0.0094555,0.0094555
