epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7021,1.76032,2.83162,1.94164,0.25504,0.17905,0.16858,0.08189,0.49146,159.442,0.42453,0.00332649,0.00332649,0.00332649
2,99.077,1.64399,2.28884,1.84094,0.27514,0.23549,0.19784,0.10907,0.49765,121.326,0.44694,0.00662686,0.00662686,0.00662686
3,147.155,1.66389,2.17388,1.86836,0.26036,0.21656,0.19298,0.10368,0.4734,215.698,0.44108,0.00989422,0.00989422,0.00989422
4,194.746,1.68024,2.11606,1.90086,0.3732,0.32255,0.28043,0.14463,0.44835,52.6848,0.42177,0.0098515,0.0098515,0.0098515
5,242.655,1.65415,2.02524,1.88382,0.47238,0.35476,0.3301,0.17131,0.45686,11.0083,0.41241,0.009802,0.009802,0.009802
6,290.45,1.61801,1.92944,1.8459,0.41824,0.25384,0.29487,0.16369,0.43911,48.0391,0.43132,0.0097525,0.0097525,0.0097525
7,338.099,1.58903,1.82937,1.82574,0.35496,0.33529,0.33979,0.18555,0.45583,88.3956,0.42251,0.009703,0.009703,0.009703
8,386.204,1.56958,1.78479,1.81159,0.32828,0.41428,0.32311,0.18569,0.45937,184.026,0.42527,0.0096535,0.0096535,0.0096535
9,433.794,1.55408,1.71791,1.79408,0.43314,0.38619,0.36026,0.21031,0.51353,38.2848,0.46752,0.009604,0.009604,0.009604
10,481.538,1.53085,1.68801,1.77681,0.47959,0.42482,0.47423,0.29483,0.40771,13.7712,0.39505,0.0095545,0.0095545,0.0095545
11,529.771,1.51701,1.6338,1.75799,0.50858,0.42826,0.44785,0.26287,0.41336,32.0477,0.38929,0.009505,0.009505,0.009505
12,577.199,1.49831,1.61633,1.75203,0.69648,0.44219,0.52142,0.32368,0.40968,12.9392,0.39988,0.0094555,0.0094555,0.0094555
13,624.744,1.47136,1.54846,1.72844,0.6028,0.47063,0.51039,0.31253,0.42108,22.302,0.41319,0.009406,0.009406,0.009406
14,672.047,1.46864,1.53315,1.72271,0.69502,0.44321,0.55558,0.34802,0.4171,9.4835,0.39879,0.0093565,0.0093565,0.0093565
