epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85954,1.8034,3.32179,1.64414,0.05704,0.3215,0.04375,0.02366,1.35151,3.32867,1.15572,8e-05,8e-05,8e-05
2,16.6234,1.62704,3.1369,1.42202,0.08259,0.46555,0.0772,0.04111,1.42481,3.24654,1.12511,0.00016218,0.00016218,0.00016218
3,24.2581,1.5652,2.78573,1.33538,0.09056,0.51044,0.11566,0.05662,1.46823,3.21177,1.12837,0.00022456,0.00022456,0.00022456
4,31.8698,1.56199,2.54977,1.32031,0.06278,0.35386,0.09801,0.04327,1.51368,3.20217,1.14255,0.00026714,0.00026714,0.00026714
5,39.5134,1.57039,2.3121,1.31292,0.06667,0.37578,0.10231,0.04445,1.53055,3.10763,1.13683,0.00028992,0.00028992,0.00028992
6,47.5028,1.55933,2.16494,1.31052,0.07296,0.41127,0.11226,0.0538,1.41438,3.08359,1.0947,0.0002929,0.0002929,0.0002929
7,55.5343,1.62189,2.01996,1.32821,0.05741,0.32359,0.10279,0.05094,1.47021,2.99745,1.11269,0.00027608,0.00027608,0.00027608
8,63.2908,1.57185,1.87126,1.32688,0.06056,0.34134,0.11367,0.05855,1.4209,2.94354,1.09233,0.00023946,0.00023946,0.00023946
9,71.5022,1.56242,1.8202,1.31802,0.07389,0.41649,0.14707,0.084,1.40772,2.86706,1.08268,0.00018304,0.00018304,0.00018304
10,79.2738,1.54599,1.75026,1.30773,0.08481,0.47808,0.17755,0.10617,1.39154,2.8215,1.07911,0.00010682,0.00010682,0.00010682
