epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6076,1.77022,2.24122,1.97197,0.45203,0.2373,0.23231,0.13024,0.47536,34.2794,0.43379,0.00332649,0.00332649,0.00332649
2,161.993,1.63739,1.76063,1.82267,0.29202,0.24643,0.28693,0.15082,0.45246,127.189,0.39458,0.00662686,0.00662686,0.00662686
3,242.297,1.66522,1.80095,1.8522,0.42137,0.28585,0.27328,0.15777,0.49359,118.864,0.42292,0.00989422,0.00989422,0.00989422
4,322.737,1.68596,1.85246,1.88621,0.58029,0.29574,0.25852,0.13829,0.46646,166.762,0.41858,0.0098515,0.0098515,0.0098515
5,402.378,1.64263,1.79721,1.86156,0.58185,0.35725,0.41235,0.23693,0.45019,31.8712,0.4198,0.009802,0.009802,0.009802
6,482.534,1.58971,1.69506,1.80956,0.4793,0.49606,0.45005,0.26193,0.44065,21.9328,0.39832,0.0097525,0.0097525,0.0097525
7,562.495,1.55269,1.60832,1.78562,0.63449,0.4389,0.50836,0.30797,0.43015,23.2246,0.39937,0.009703,0.009703,0.009703
8,642.635,1.52287,1.55963,1.76297,0.62414,0.46901,0.52861,0.31928,0.43201,38.9212,0.40524,0.0096535,0.0096535,0.0096535
9,722.507,1.49575,1.49235,1.73797,0.69884,0.51858,0.56103,0.35277,0.44587,29.62,0.40343,0.009604,0.009604,0.009604
10,802.467,1.46734,1.4543,1.71445,0.7552,0.50145,0.60331,0.38897,0.42009,19.7529,0.38776,0.0095545,0.0095545,0.0095545
11,882.836,1.44457,1.3948,1.68803,0.72794,0.53135,0.62392,0.39235,0.37899,13.5668,0.36636,0.009505,0.009505,0.009505
12,962.812,1.42657,1.37575,1.67863,0.72034,0.54272,0.64438,0.41579,0.39272,8.04153,0.37646,0.0094555,0.0094555,0.0094555
13,1042.64,1.39619,1.3123,1.65568,0.70755,0.55582,0.64339,0.41564,0.41432,3.04423,0.39914,0.009406,0.009406,0.009406
14,1121.85,1.38422,1.29095,1.64042,0.76637,0.54843,0.68336,0.4375,0.42834,4.58072,0.39653,0.0093565,0.0093565,0.0093565
15,1202.19,1.35567,1.24615,1.62059,0.7261,0.63953,0.72219,0.45716,0.39794,16.1559,0.37924,0.009307,0.009307,0.009307
16,1282.12,1.34839,1.23788,1.6185,0.73101,0.63556,0.72971,0.46332,0.39415,15.5156,0.37638,0.0092575,0.0092575,0.0092575
17,1361.95,1.32554,1.19736,1.5885,0.77594,0.65209,0.76918,0.50164,0.38339,11.578,0.37757,0.009208,0.009208,0.009208
18,1441.63,1.30268,1.16787,1.5716,0.77043,0.63542,0.72697,0.48782,0.37692,3.02371,0.36585,0.0091585,0.0091585,0.0091585
19,1520.96,1.2963,1.15317,1.56619,0.82538,0.65713,0.77713,0.50495,0.39785,6.20304,0.36892,0.009109,0.009109,0.009109
20,1600.75,1.28073,1.12821,1.55758,0.78046,0.66887,0.77866,0.51269,0.38178,2.12366,0.36304,0.0090595,0.0090595,0.0090595
21,1680.72,1.26823,1.10251,1.53789,0.77584,0.71383,0.79377,0.53618,0.37652,4.4899,0.36855,0.00901,0.00901,0.00901
22,1760.38,1.24813,1.08418,1.52619,0.77416,0.74365,0.80272,0.54541,0.38628,1.85883,0.36903,0.0089605,0.0089605,0.0089605
23,1840.19,1.2398,1.06135,1.51636,0.82878,0.64571,0.79415,0.54063,0.37498,4.65753,0.35844,0.008911,0.008911,0.008911
24,1919.73,1.22566,1.03282,1.49797,0.8775,0.68296,0.82975,0.57236,0.35868,6.80719,0.34988,0.0088615,0.0088615,0.0088615
25,1999.53,1.21756,1.03157,1.49385,0.80022,0.71585,0.81764,0.56606,0.37786,3.85689,0.3587,0.008812,0.008812,0.008812
26,2078.81,1.20417,1.01917,1.48472,0.79177,0.74197,0.81292,0.54229,0.39556,5.03206,0.37174,0.0087625,0.0087625,0.0087625
27,2158.26,1.18779,0.9978,1.47353,0.81067,0.72546,0.81321,0.57209,0.35586,0.72722,0.34138,0.008713,0.008713,0.008713
28,2237.91,1.17533,0.97061,1.45799,0.75518,0.70319,0.8169,0.52531,0.38285,7.04969,0.37169,0.0086635,0.0086635,0.0086635
29,2317.25,1.16109,0.9579,1.44613,0.81196,0.75344,0.85017,0.59009,0.35858,4.89915,0.35764,0.008614,0.008614,0.008614
30,2396.96,1.1501,0.94509,1.43753,0.80976,0.77991,0.8469,0.58809,0.35778,4.65042,0.35798,0.0085645,0.0085645,0.0085645
31,2476.12,1.14153,0.93315,1.4319,0.79395,0.78739,0.85506,0.59748,0.358,3.18222,0.35062,0.008515,0.008515,0.008515
32,2555.82,1.13219,0.92469,1.42537,0.81733,0.77291,0.84982,0.58918,0.35741,2.01377,0.35025,0.0084655,0.0084655,0.0084655
33,2635.44,1.12199,0.90518,1.40932,0.83803,0.77,0.85175,0.60807,0.36474,2.6543,0.35255,0.008416,0.008416,0.008416
