epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3555,1.80922,3.32659,1.64895,0.05593,0.31524,0.03945,0.021,1.33793,3.30826,1.13526,8e-05,8e-05,8e-05
2,23.9411,1.6239,3.1621,1.46857,0.0887,0.5,0.07791,0.0433,1.44874,3.25682,1.14196,0.000178218,0.000178218,0.000178218
3,45.0403,1.56116,2.89496,1.37726,0.10315,0.58142,0.11667,0.06052,1.48566,3.19739,1.14424,0.000274456,0.000274456,0.000274456
4,66.1298,1.5226,2.64493,1.33097,0.08407,0.4739,0.10765,0.05376,1.60613,3.16667,1.17935,0.000368714,0.000368714,0.000368714
5,87.6598,1.65354,2.44814,1.42148,0.09444,0.53236,0.12277,0.05782,1.65004,3.05805,1.1743,0.000460992,0.000460992,0.000460992
6,103.492,1.66893,2.25149,1.41453,0.10833,0.61065,0.13753,0.07196,1.44245,3.05765,1.10011,0.00055129,0.00055129,0.00055129
7,126.801,1.66877,2.08911,1.33293,0.09907,0.55846,0.12705,0.06674,1.53773,2.99116,1.137,0.000639608,0.000639608,0.000639608
8,151.671,1.72204,1.80792,1.36445,0.05907,0.33299,0.10198,0.05586,1.45246,2.94012,1.11377,0.000725946,0.000725946,0.000725946
9,175.416,1.67825,1.73551,1.39387,0.07352,0.41441,0.12005,0.06527,1.49207,2.86629,1.15161,0.000810304,0.000810304,0.000810304
10,196.528,1.63777,1.63358,1.37724,0.085,0.47912,0.11483,0.05928,1.47381,2.84809,1.17337,0.000892682,0.000892682,0.000892682
11,210.732,1.57805,1.50045,1.31802,0.11074,0.62422,0.1656,0.08755,1.49945,2.54665,1.18076,0.00097308,0.00097308,0.00097308
12,220.913,1.47476,1.40895,1.28833,0.1437,0.81002,0.28288,0.14638,1.52912,2.2384,1.18249,0.0010515,0.0010515,0.0010515
13,232.457,1.49651,1.38734,1.34508,0.38935,0.5501,0.36047,0.19344,1.50525,2.05007,1.16056,0.00112794,0.00112794,0.00112794
14,243.991,1.55163,1.43539,1.36978,0.59011,0.43581,0.47704,0.25646,1.58274,1.87605,1.21398,0.00120239,0.00120239,0.00120239
15,255.606,1.59856,1.44273,1.40592,0.56785,0.55688,0.54054,0.29709,1.46597,1.62379,1.18986,0.00127487,0.00127487,0.00127487
16,274.555,1.54131,1.36315,1.32031,0.56679,0.54906,0.52348,0.28397,1.56325,1.50481,1.24215,0.00134537,0.00134537,0.00134537
17,300.982,1.52592,1.38189,1.36395,0.57642,0.55115,0.5576,0.32184,1.43724,1.37123,1.21464,0.00141389,0.00141389,0.00141389
18,326.308,1.52054,1.34825,1.30733,0.49282,0.55115,0.46977,0.27004,1.51509,1.37052,1.22456,0.00148043,0.00148043,0.00148043
19,340.409,1.50513,1.32188,1.31493,0.61029,0.54384,0.5592,0.30995,1.54504,1.29509,1.23127,0.00154498,0.00154498,0.00154498
20,350.233,1.49103,1.32859,1.3253,0.57178,0.63048,0.60168,0.34686,1.4596,1.25097,1.21167,0.00160756,0.00160756,0.00160756
21,359.376,1.52202,1.31228,1.32263,0.5372,0.57933,0.53871,0.28801,1.61826,1.33948,1.33069,0.001604,0.001604,0.001604
22,368.978,1.44181,1.27651,1.31331,0.54565,0.59708,0.57211,0.31859,1.47575,1.27163,1.2237,0.0015842,0.0015842,0.0015842
23,380.411,1.42306,1.24056,1.2963,0.57645,0.59603,0.58637,0.34707,1.36814,1.22677,1.17715,0.0015644,0.0015644,0.0015644
24,392.211,1.50848,1.2835,1.31543,0.58285,0.58768,0.58462,0.32533,1.51326,1.25178,1.25791,0.0015446,0.0015446,0.0015446
25,402.985,1.41817,1.23277,1.26532,0.5814,0.54802,0.55831,0.31466,1.46998,1.26714,1.23738,0.0015248,0.0015248,0.0015248
26,414.655,1.44812,1.24918,1.28015,0.5789,0.59603,0.59401,0.35288,1.39348,1.21953,1.19233,0.001505,0.001505,0.001505
27,426.149,1.53731,1.27922,1.32506,0.60848,0.57203,0.59414,0.35274,1.39994,1.21558,1.19427,0.0014852,0.0014852,0.0014852
28,437.439,1.48283,1.28626,1.33148,0.57008,0.5261,0.55709,0.31241,1.46977,1.25333,1.21589,0.0014654,0.0014654,0.0014654
29,448.7,1.46978,1.24511,1.29043,0.57047,0.52505,0.53694,0.3087,1.45859,1.29437,1.2236,0.0014456,0.0014456,0.0014456
30,459.954,1.49095,1.25712,1.30581,0.58027,0.55115,0.55684,0.31711,1.48518,1.27616,1.24252,0.0014258,0.0014258,0.0014258
31,471.018,1.41406,1.23389,1.26245,0.61002,0.57475,0.5957,0.35107,1.41586,1.1954,1.20628,0.001406,0.001406,0.001406
32,482.066,1.40549,1.1939,1.27863,0.59339,0.62317,0.61342,0.3606,1.40797,1.17705,1.21886,0.0013862,0.0013862,0.0013862
33,493.254,1.42815,1.19637,1.31354,0.65234,0.5929,0.62184,0.36546,1.39475,1.1656,1.20932,0.0013664,0.0013664,0.0013664
34,505,1.42841,1.14464,1.26205,0.65431,0.61378,0.63968,0.37498,1.40167,1.15657,1.20012,0.0013466,0.0013466,0.0013466
35,520,1.4144,1.18217,1.28476,0.64863,0.61587,0.64164,0.37973,1.3962,1.15793,1.19134,0.0013268,0.0013268,0.0013268
36,539.096,1.39483,1.17238,1.28729,0.64368,0.5789,0.62442,0.37538,1.38507,1.15874,1.19455,0.001307,0.001307,0.001307
37,553.011,1.38004,1.15894,1.26269,0.63653,0.62422,0.64803,0.39022,1.36776,1.12927,1.17306,0.0012872,0.0012872,0.0012872
38,565.194,1.41105,1.16526,1.26203,0.63727,0.64509,0.65637,0.39996,1.35307,1.12185,1.16042,0.0012674,0.0012674,0.0012674
39,574.587,1.36146,1.1447,1.24032,0.64249,0.61691,0.64613,0.3949,1.35444,1.13123,1.17085,0.0012476,0.0012476,0.0012476
40,583.867,1.38226,1.1424,1.26064,0.62199,0.61587,0.62866,0.36984,1.42798,1.16414,1.21222,0.0012278,0.0012278,0.0012278
41,594.142,1.38913,1.11652,1.2568,0.60861,0.64614,0.6375,0.38251,1.37292,1.13384,1.18715,0.001208,0.001208,0.001208
42,606.704,1.4288,1.1511,1.26262,0.61389,0.62072,0.63843,0.36371,1.45774,1.15113,1.20881,0.0011882,0.0011882,0.0011882
43,618.623,1.36026,1.12832,1.24636,0.58782,0.66388,0.65052,0.38523,1.39562,1.13833,1.18129,0.0011684,0.0011684,0.0011684
44,630.045,1.42113,1.15828,1.31333,0.6092,0.61997,0.64289,0.3791,1.41149,1.16546,1.18643,0.0011486,0.0011486,0.0011486
45,642.955,1.50121,1.15477,1.30274,0.62511,0.619,0.64797,0.38951,1.39149,1.14464,1.18468,0.0011288,0.0011288,0.0011288
46,661.644,1.37945,1.16954,1.2999,0.61475,0.61378,0.629,0.38244,1.37585,1.15683,1.17917,0.001109,0.001109,0.001109
47,682.878,1.31392,1.10862,1.24484,0.61472,0.59956,0.62118,0.3776,1.36176,1.17566,1.17942,0.0010892,0.0010892,0.0010892
48,704.122,1.36352,1.16982,1.27376,0.63734,0.63674,0.65558,0.39167,1.37749,1.12265,1.18745,0.0010694,0.0010694,0.0010694
49,724.666,1.30957,1.08077,1.20129,0.61913,0.63361,0.6496,0.38492,1.40603,1.13419,1.19994,0.0010496,0.0010496,0.0010496
50,743.877,1.29605,1.09234,1.22196,0.63277,0.63133,0.64317,0.38894,1.37615,1.12542,1.18103,0.0010298,0.0010298,0.0010298
51,758.238,1.29016,1.09799,1.21917,0.63118,0.62524,0.63278,0.38801,1.35411,1.1232,1.16967,0.00101,0.00101,0.00101
52,777.694,1.26489,1.06842,1.20838,0.6574,0.61795,0.64619,0.39588,1.34413,1.12573,1.16744,0.0009902,0.0009902,0.0009902
53,797.113,1.31088,1.07025,1.20952,0.66719,0.62526,0.65489,0.39509,1.38873,1.1352,1.17221,0.0009704,0.0009704,0.0009704
54,818.298,1.25274,1.0242,1.16474,0.64753,0.6357,0.65318,0.39558,1.40294,1.12424,1.16696,0.0009506,0.0009506,0.0009506
55,842.733,1.25915,1.0264,1.18277,0.65828,0.58514,0.64136,0.38966,1.37786,1.12257,1.15574,0.0009308,0.0009308,0.0009308
56,863.748,1.30619,1.05497,1.2124,0.66975,0.53132,0.59918,0.3626,1.36933,1.14249,1.15798,0.000911,0.000911,0.000911
57,883.486,1.28022,1.03157,1.19518,0.68655,0.56054,0.6236,0.37136,1.40491,1.12657,1.16801,0.0008912,0.0008912,0.0008912
58,903.027,1.28991,1.02098,1.21431,0.67244,0.59395,0.63845,0.38333,1.39886,1.10798,1.16457,0.0008714,0.0008714,0.0008714
59,922.673,1.32836,1.04169,1.21661,0.65132,0.62109,0.64519,0.40186,1.32452,1.08512,1.14181,0.0008516,0.0008516,0.0008516
